id;nickname;gender;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC;M
X2D2;0;0;3;1;2;0;22;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0;0.0
Z2Z8;1;1;3;0;2;0;24;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0;0.0
KXQG;1;1;2;0;2;0;44;1;1;0;0;0;0;0;0;0;1;0;0.0021563342318059;0.0010884203952008;0.0509195717814987;0.0;0.2857142857142857
XVJO;0;1;3;1;2;0;27;1;1;0;0;0;0;1;1;0;1;0;0.0010781671159029;0.0;0.046901468989406;1.0;0.2857142857142857
O1A1;0;1;3;1;3;0;28;1;1;1;0;1;1;1;0;0;1;0;0.0010781671159029;0.0;0.0345071339546477;1.0;0.2857142857142857
I5WJ;1;1;3;0;2;0;41;0;1;1;0;0;0;1;1;0;0;0;0.0026954177897574;0.0032313901319213;0.0557090515946903;0.5;0.1428571428571428
P4GK;0;1;1;2;3;0;44;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0411938442406342;0.0;0.2857142857142857
H9AT;1;1;2;1;4;0;32;1;1;1;0;0;0;1;0;0;1;0;0.0016172506738544;0.0005300672700074;0.0390526315789473;0.6666666666666666;0.2857142857142857
VLO6;1;1;1;2;3;0;38;1;1;1;0;0;0;1;1;0;0;0;0.0021563342318059;1.938452204068617e-07;0.0510204081632653;0.8333333333333334;0.2857142857142857
X5HN;1;1;1;1;3;0;30;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0362127867252318;0.0;0.1428571428571428
YWX7;0;1;0;0;0;0;26;0;1;0;0;0;0;0;0;0;1;0;0.0021563342318059;1.7639915057024416e-06;0.0436850905494194;0.6666666666666666;0.1428571428571428
A5ME;0;0;3;1;2;0;43;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0010781671159029;0.0405243036592026;0.0;0.1428571428571428
J8VJ;1;1;3;1;3;0;71;1;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0507662835249042;0.0;0.1428571428571428
I8YK;0;1;2;1;5;0;40;1;1;1;0;0;0;0;0;0;0;0;0.0032345013477088;0.0002837305568051;0.0534782483351111;0.9333333333333332;0.1428571428571428
U3CR;1;1;2;1;2;0;38;0;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;0.0;0.0532816314806836;1.0;0.4285714285714285
IKKQ;1;1;1;2;2;0;43;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0311969189889171;1.0;0.1428571428571428
COUR;0;1;3;1;5;0;36;0;1;1;0;0;0;1;0;0;1;0;0.0064690026954177;0.0;0.0511131929901906;1.0;0.1428571428571428
FQOY;1;1;3;0;4;0;33;1;1;1;0;0;0;0;1;0;1;0;0.0005390835579514;0.0;0.0436162708676228;0.0;0.1428571428571428
TYKI;1;1;2;1;3;0;41;1;1;1;0;0;0;0;1;0;1;0;0.0021563342318059;0.0080531058365826;0.0313498166331479;0.3333333333333333;0.1428571428571428
BSZW;1;1;3;1;3;0;31;1;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.062870699881376;0.0;0.1428571428571428
XAZ1;1;1;2;1;2;0;28;1;0;1;0;0;0;1;0;0;1;1;0.0037735849056603;0.0001315724433511;0.0555372593634921;0.7142857142857143;0.1428571428571428
U2PR;1;1;0;1;1;0;38;1;1;1;0;0;0;1;0;0;1;0;0.0016172506738544;0.0016168629834136;0.0678319376896917;0.0;0.1428571428571428
H1W5;0;1;1;0;4;0;31;0;1;1;0;0;0;0;0;0;1;0;0.0016172506738544;2.907678306102926e-07;0.0399010539901054;0.6666666666666666;0.1428571428571428
Z0HZ;1;1;1;0;3;0;38;1;1;1;0;0;0;0;0;0;1;0;0.0026954177897574;0.0032327567407252;0.0701668116654688;0.1;0.1428571428571428
IAVD;0;1;1;2;3;0;64;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0719382610718994;0.0;0.1428571428571428
GVL0;0;1;4;3;5;0;29;0;1;0;0;0;0;1;0;0;0;0;0.0043126684636118;0.0;0.0323052541753017;1.0;0.2857142857142857
PDRT;1;1;1;1;4;0;27;1;1;1;0;0;0;0;1;0;1;0;0.0005390835579514;0.0;0.0293796227371355;0.0;0.1428571428571428
PSKW;0;1;3;1;5;0;35;0;1;1;0;0;0;0;0;0;1;0;0.0097035040431266;0.0297493801578799;0.0537494204914232;0.3202614379084967;0.1428571428571428
MWEY;0;1;2;1;2;0;36;1;1;0;0;0;0;0;1;0;1;0;0.0005390835579514;0.0;0.0727251342768651;0.0;0.2857142857142857
Q2XN;0;1;1;0;5;0;47;1;1;0;0;0;0;0;0;0;1;0;0.0026954177897574;0.0002691056272298;0.0592841163310962;0.9;0.1428571428571428
NVSY;0;1;1;2;3;0;38;1;1;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0010781671159029;0.0387507833716315;0.0;0.4285714285714285
E3A8;0;1;1;2;5;0;58;1;1;0;0;0;0;0;0;0;0;0;0.0032345013477088;0.0002837305568051;0.0534782483351111;0.9333333333333332;0.1428571428571428
XJFB;1;1;3;1;3;0;26;0;1;0;0;0;0;0;0;0;1;0;0.0016172506738544;0.0002685822451347;0.0430204782114613;0.3333333333333333;0.1428571428571428
JCPW;0;1;2;0;1;0;21;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0398967630928056;0.0;0.2857142857142857
TRLM;0;0;3;0;2;0;41;0;1;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0010781671159029;0.0510077817801853;0.0;0.1428571428571428
A9PJ;1;1;3;1;4;0;32;1;1;1;0;0;0;1;0;0;1;0;0.0026954177897574;0.001606413693605;0.0450976101913305;0.3;0.0
P5J2;1;1;2;1;2;0;36;1;1;1;0;0;0;1;1;0;1;0;0.0016172506738544;0.0;0.0683467816219004;1.0;0.2857142857142857
QLGT;0;1;3;1;3;0;35;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0507093846532352;0.0;0.4285714285714285
YJI0;1;1;2;1;3;0;25;0;0;0;0;0;0;0;0;0;1;0;0.0016172506738544;0.0442827775306251;0.0432713615899601;0.0;0.1428571428571428
AJNA;0;1;2;1;2;0;30;1;1;1;0;0;0;0;1;0;1;0;0.0032345013477088;4.6024393759457743e-05;0.051192184567833;0.6666666666666666;0.1428571428571428
KELM;0;1;1;2;2;0;24;0;0;0;0;0;0;1;0;0;0;0;0.0010781671159029;0.0;0.046592821440233;1.0;0.1428571428571428
UYL7;0;1;2;1;2;0;31;1;1;1;0;0;0;1;0;0;1;0;0.0086253369272237;0.1492003960908524;0.0775112819655691;0.0;0.0
M1HL;1;1;3;1;2;0;27;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0376260116427658;1.0;0.2857142857142857
MEWG;1;1;2;1;5;0;27;1;0;0;0;0;0;1;1;0;1;0;0.0005390835579514;0.0;0.0552297019680233;0.0;0.1428571428571428
C8FB;1;1;3;1;4;0;32;0;1;1;0;0;0;1;1;0;0;1;0.0005390835579514;0.0;0.0375498471690856;0.0;0.2857142857142857
GNGV;1;1;3;0;2;0;27;1;1;0;0;0;0;1;0;0;1;0;0.0010781671159029;0.0;0.0418358141632837;1.0;0.2857142857142857
B8RC;1;1;3;2;3;0;44;0;1;1;0;0;0;1;0;0;0;0;0.0010781671159029;0.0;0.0252031194804489;1.0;0.2857142857142857
JCCR;1;0;3;0;2;0;28;1;1;1;0;0;0;1;1;0;1;0;0.0043126684636118;0.0078467575994594;0.0470489765896466;0.25;0.1428571428571428
GVJO;1;1;3;0;3;0;52;1;1;1;0;0;0;0;0;0;1;0;0.0032345013477088;0.001618026054736;0.0429626884683975;0.2;0.1428571428571428
G2PS;0;1;2;1;2;0;23;0;0;0;0;0;0;0;0;0;0;0;0.0005390835579514;0.0;0.0627749576988155;0.0;0.1428571428571428
PGIU;0;1;0;2;2;0;28;1;0;0;0;0;0;1;1;0;1;0;0.0005390835579514;0.0;0.0671177364498154;0.0;0.0
SKU1;1;1;2;1;2;0;26;1;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;0.0004841575147492;0.0633776350404865;0.1666666666666666;0.2857142857142857
UGQC;0;1;1;1;3;0;27;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0362751041320374;0.0;0.4285714285714285
KHGR;0;1;3;1;2;0;38;0;1;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0575140297026633;0.0;0.2857142857142857
R9DE;1;1;1;0;2;0;45;0;1;1;1;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0461350974930362;1.0;0.1428571428571428
NVUS;1;1;3;2;3;0;46;1;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.4102233969242579;0.0677180301536889;0.0;0.1428571428571428
LZQT;0;1;1;2;3;0;38;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0635252217389815;0.0;0.2857142857142857
R5OR;1;1;1;2;3;0;43;1;1;1;0;0;0;0;0;0;1;0;0.0016172506738544;0.0001483237002819;0.0453113168372456;0.3333333333333333;0.2857142857142857
UOEP;0;1;2;1;2;0;29;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0463692038495188;0.0;0.2857142857142857
F3XS;0;1;3;0;5;0;22;0;0;0;0;0;0;0;0;0;0;0;0.0010781671159029;0.0;0.0512728378341026;1.0;0.1428571428571428
GCV9;1;1;3;0;2;0;30;1;1;1;0;0;0;0;1;0;1;1;0.0016172506738544;0.0012402732113558;0.0454356185857398;0.0;0.2857142857142857
ONLK;1;1;2;0;2;0;27;1;1;1;0;0;0;0;1;0;1;0;0.0053908355795148;0.0224621056824757;0.0534797901170501;0.2888888888888888;0.2857142857142857
E5RO;1;1;1;2;2;0;28;0;1;1;0;0;0;0;0;0;1;0;0.0016172506738544;0.0010781671159029;0.0375392087422847;0.3333333333333333;0.1428571428571428
Q3GE;0;1;3;0;3;0;35;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0399638063640476;0.0;0.1428571428571428
RDW8;0;1;4;3;5;0;43;0;1;0;0;0;0;0;0;0;1;0;0.0064690026954177;0.0;0.0511131929901906;1.0;0.2857142857142857
BUW4;1;1;1;3;3;0;63;1;1;1;0;0;0;0;1;0;1;1;0.0016172506738544;0.0973190067798335;0.0497625881911098;0.0;0.2857142857142857
X0VN;0;1;2;1;5;0;37;1;1;0;0;0;0;1;0;0;1;0;0.0021563342318059;0.0;0.0563709848968304;1.0;0.1428571428571428
KRZA;1;1;2;1;3;0;30;1;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0577953639082751;1.0;0.1428571428571428
P0K0;0;1;1;0;3;0;31;1;1;0;0;0;0;0;0;0;1;0;0.0016172506738544;0.0012144084598484;0.0636975482453128;0.0;0.2857142857142857
OLUR;1;1;1;2;3;0;29;1;1;1;0;0;0;0;0;0;1;0;0.0026954177897574;0.0075308868128065;0.0590294351630867;0.1;0.2857142857142857
Z4X6;0;1;1;0;2;0;28;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.065568555370966;0.0;0.1428571428571428
Y1ZR;1;1;1;2;3;0;42;1;1;1;0;0;0;1;1;0;1;0;0.0161725067385444;0.1102342467181657;0.0733404499268572;0.0919540229885057;0.4285714285714285
U0U3;0;1;3;0;3;0;35;0;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;5.815356612205852e-07;0.035139230914946;0.5;0.2857142857142857
B3S7;1;1;2;1;2;0;26;0;0;0;0;0;0;0;0;0;1;0;0.0010781671159029;2.218143164941376e-06;0.0629069451980466;0.0;0.4285714285714285
XSUD;1;0;3;0;2;0;24;0;0;0;0;0;0;0;0;0;1;0;0.0016172506738544;0.0004484073646836;0.0430224737342579;0.0;0.1428571428571428
THK3;0;1;3;1;3;0;45;1;1;1;0;1;0;1;1;0;1;0;0.0010781671159029;0.0;0.0412552264033449;1.0;0.2857142857142857
O5IK;1;1;4;1;5;0;40;1;1;1;0;0;0;1;1;0;1;0;0.0016172506738544;0.0010781671159029;0.0661248351334973;0.3333333333333333;0.4285714285714285
Y3UJ;0;1;3;2;2;0;30;1;1;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0010781671159029;0.0511005206468141;0.0;0.1428571428571428
SWQD;0;0;1;2;2;0;30;1;1;1;0;0;0;0;0;0;1;0;0.0016172506738544;0.0;0.0667266187050359;1.0;0.2857142857142857
BCFO;1;1;1;1;3;0;67;1;1;1;0;0;0;0;0;0;1;1;0.012398921832884;0.0521928693391547;0.0472106281176829;0.1106719367588932;0.0
OOS1;1;1;1;0;3;0;43;1;1;1;0;0;0;1;0;0;0;0;0.0005390835579514;0.0;0.0501364901754101;0.0;0.2857142857142857
KYSK;0;1;1;1;4;0;28;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0362751041320374;0.0;0.4285714285714285
