Source;Target
AIQC;O1JY
AIQC;HBLG
AIQC;AGSF
AIQC;JXSE
DSV2;JXSE
V3KS;OQHU
V3KS;A3B7
UNSY;NNGN
ZMWL;I6QB
MMJF;HTJH
FCEM;H4MT
FCEM;NNGN
RSV9;PUOF
RSV9;KZF6
YGJ0;ZSQZ
DRI8;HTJH
DRI8;JXSE
C7NE;FCEM
C7NE;H4MT
C7NE;NNGN
R8G8;MVS5
R8G8;NXLV
HTJH;JXSE
FEXI;NNGN
MVS5;JXSE
T5WV;VTSZ
T5WV;JXSE
NNCU;HTJH
HBLG;O1JY
HBLG;JXSE
WHUF;X5EJ
WHUF;BUAN
WHUF;TCB5
VNGC;PUOF
VNGC;KNZ5
QRQU;ZSQZ
N2C4;QRQU
ELLN;ZSQZ
NBA6;FCEM
NBA6;C7NE
NBA6;H4MT
NBA6;NNGN
R2B7;ZSQZ
J3NT;YGJ0
J3NT;ZSQZ
OCQF;TCB5
NGC0;MMJF
NGC0;HTJH
NGC0;MUB5
PITS;AGSF
H4MT;NNGN
UMBL;HBS4
G9Q3;PXRU
G9Q3;EWB4
K8Y5;YGJ0
K8Y5;J3NT
K8Y5;F5SD
QXEI;VTSZ
QXEI;PXRU
QXEI;EWB4
QXEI;JXSE
FWHN;NNGN
EDA0;TTQ7
EDA0;RSV9
EDA0;VNGC
EDA0;PUOF
EDA0;KZF6
PUOF;D4V1
PUOF;KZF6
PUOF;KNZ5
G4YZ;V3KS
G4YZ;OQHU
G4YZ;A3B7
ZSQZ;VTZF
ZSQZ;UMBL
ZSQZ;I6QB
ZSQZ;APHG
AKUH;TCB5
F5SD;ZSQZ
F5SD;H0J6
Q0HE;MVS5
Q0HE;JXSE
LAR9;JXSE
M2FW;ZSQZ
DHW2;FCEM
DHW2;ZALT
FZWX;NNGN
JBCB;JXSE
RHCF;PXRU
ISQV;PUOF
T4OL;O1JY
EOHI;YGJ0
EOHI;J3NT
EOHI;ZSQZ
C2UN;PUOF
HPPA;JXSE
NXLV;MVS5
C1UG;JXSE
MBHF;JXSE
MBHF;TCB5
D3RZ;JXSE
NHWJ;J3NT
NHWJ;I6QB
JXSE;WTUR
JXSE;FCEM
JXSE;K8R5
JXSE;PUOF
JXSE;ZSQZ
JXSE;MFEF
JXSE;D4V1
JXSE;ZWH4
JXSE;CQBB
JXSE;ROXF
JXSE;A3B7
TCB5;JXSE
SAVP;KJLL
SAVP;PUOF
U4JT;AIQC
U4JT;HBLG
U4JT;IEOJ
VXYW;PUOF
MUB5;MMJF
MUB5;HTJH
